annotation_file,class_name,bbox_width,bbox_height,bbox_area,bbox_area_ratio,split
aachen_000000_000019_gtFine_polygons.json,car,198,112,22176,0.010574,train
aachen_000000_000019_gtFine_polygons.json,car,159,73,11607,0.005535,train
aachen_000000_000019_gtFine_polygons.json,car,159,73,11607,0.005535,train
aachen_000000_000019_gtFine_polygons.json,car,85,38,3230,0.00154,train
aachen_000000_000019_gtFine_polygons.json,car,148,53,7844,0.00374,train
aachen_000000_000019_gtFine_polygons.json,car,155,58,8990,0.004287,train
aachen_000000_000019_gtFine_polygons.json,car,75,19,1425,0.000679,train
aachen_000000_000019_gtFine_polygons.json,car,84,27,2268,0.001081,train
aachen_000000_000019_gtFine_polygons.json,car,143,59,8437,0.004023,train
aachen_000000_000019_gtFine_polygons.json,car,159,73,11607,0.005535,train
aachen_000000_000019_gtFine_polygons.json,bicycle,41,44,1804,0.00086,train
aachen_000000_000019_gtFine_polygons.json,person,26,52,1352,0.000645,train
aachen_000000_000019_gtFine_polygons.json,person,33,54,1782,0.00085,train
aachen_000000_000019_gtFine_polygons.json,car,198,112,22176,0.010574,train
aachen_000000_000019_gtFine_polygons.json,rider,56,112,6272,0.002991,train
aachen_000000_000019_gtFine_polygons.json,bicycle,38,79,3002,0.001431,train
aachen_000001_000019_gtFine_polygons.json,car,25,25,625,0.000298,train
aachen_000001_000019_gtFine_polygons.json,car,26,26,676,0.000322,train
aachen_000001_000019_gtFine_polygons.json,car,60,42,2520,0.001202,train
aachen_000001_000019_gtFine_polygons.json,car,57,31,1767,0.000843,train
aachen_000001_000019_gtFine_polygons.json,car,89,37,3293,0.00157,train
aachen_000001_000019_gtFine_polygons.json,car,68,27,1836,0.000875,train
aachen_000001_000019_gtFine_polygons.json,car,71,31,2201,0.00105,train
aachen_000001_000019_gtFine_polygons.json,car,66,41,2706,0.00129,train
aachen_000001_000019_gtFine_polygons.json,car,175,92,16100,0.007677,train
aachen_000001_000019_gtFine_polygons.json,car,63,45,2835,0.001352,train
aachen_000001_000019_gtFine_polygons.json,car,68,122,8296,0.003956,train
aachen_000001_000019_gtFine_polygons.json,car,67,51,3417,0.001629,train
aachen_000001_000019_gtFine_polygons.json,car,46,33,1518,0.000724,train
aachen_000001_000019_gtFine_polygons.json,car,48,41,1968,0.000938,train
aachen_000001_000019_gtFine_polygons.json,car,74,62,4588,0.002188,train
aachen_000002_000019_gtFine_polygons.json,car,46,33,1518,0.000724,train
aachen_000002_000019_gtFine_polygons.json,car,29,34,986,0.00047,train
aachen_000002_000019_gtFine_polygons.json,car,21,21,441,0.00021,train
aachen_000002_000019_gtFine_polygons.json,car,33,27,891,0.000425,train
aachen_000002_000019_gtFine_polygons.json,bicycle,10,24,240,0.000114,train
aachen_000002_000019_gtFine_polygons.json,car,39,29,1131,0.000539,train
aachen_000002_000019_gtFine_polygons.json,person,22,60,1320,0.000629,train
aachen_000002_000019_gtFine_polygons.json,car,347,208,72176,0.034416,train
aachen_000002_000019_gtFine_polygons.json,car,280,308,86240,0.041122,train
aachen_000003_000019_gtFine_polygons.json,car,79,83,6557,0.003127,train
aachen_000003_000019_gtFine_polygons.json,car,63,112,7056,0.003365,train
aachen_000003_000019_gtFine_polygons.json,car,113,80,9040,0.004311,train
aachen_000003_000019_gtFine_polygons.json,car,74,73,5402,0.002576,train
aachen_000003_000019_gtFine_polygons.json,car,154,73,11242,0.005361,train
aachen_000003_000019_gtFine_polygons.json,car,159,65,10335,0.004928,train
aachen_000003_000019_gtFine_polygons.json,car,238,118,28084,0.013391,train
aachen_000003_000019_gtFine_polygons.json,car,432,297,128304,0.06118,train
aachen_000003_000019_gtFine_polygons.json,car,8,58,464,0.000221,train
aachen_000003_000019_gtFine_polygons.json,car,225,189,42525,0.020278,train
aachen_000003_000019_gtFine_polygons.json,person,26,73,1898,0.000905,train
aachen_000004_000019_gtFine_polygons.json,car,55,38,2090,0.000997,train
aachen_000004_000019_gtFine_polygons.json,car,43,43,1849,0.000882,train
aachen_000004_000019_gtFine_polygons.json,car,61,42,2562,0.001222,train
aachen_000004_000019_gtFine_polygons.json,car,63,49,3087,0.001472,train
aachen_000004_000019_gtFine_polygons.json,bicycle,21,41,861,0.000411,train
aachen_000004_000019_gtFine_polygons.json,person,28,63,1764,0.000841,train
aachen_000004_000019_gtFine_polygons.json,person,14,32,448,0.000214,train
aachen_000004_000019_gtFine_polygons.json,car,66,41,2706,0.00129,train
aachen_000004_000019_gtFine_polygons.json,car,29,40,1160,0.000553,train
aachen_000004_000019_gtFine_polygons.json,car,83,48,3984,0.0019,train
aachen_000004_000019_gtFine_polygons.json,car,87,54,4698,0.00224,train
aachen_000004_000019_gtFine_polygons.json,car,84,52,4368,0.002083,train
aachen_000004_000019_gtFine_polygons.json,person,48,128,6144,0.00293,train
aachen_000004_000019_gtFine_polygons.json,car,99,54,5346,0.002549,train
aachen_000004_000019_gtFine_polygons.json,person,25,42,1050,0.000501,train
aachen_000004_000019_gtFine_polygons.json,car,49,173,8477,0.004042,train
aachen_000004_000019_gtFine_polygons.json,person,40,104,4160,0.001984,train
aachen_000004_000019_gtFine_polygons.json,person,51,139,7089,0.00338,train
aachen_000004_000019_gtFine_polygons.json,person,43,87,3741,0.001784,train
aachen_000004_000019_gtFine_polygons.json,motorcycle,45,39,1755,0.000837,train
aachen_000004_000019_gtFine_polygons.json,car,223,135,30105,0.014355,train
aachen_000004_000019_gtFine_polygons.json,car,72,52,3744,0.001785,train
aachen_000004_000019_gtFine_polygons.json,car,92,63,5796,0.002764,train
aachen_000004_000019_gtFine_polygons.json,car,57,26,1482,0.000707,train
aachen_000004_000019_gtFine_polygons.json,motorcycle,24,27,648,0.000309,train
aachen_000005_000019_gtFine_polygons.json,motorcycle,106,38,4028,0.001921,train
aachen_000005_000019_gtFine_polygons.json,motorcycle,42,37,1554,0.000741,train
aachen_000005_000019_gtFine_polygons.json,person,48,129,6192,0.002953,train
aachen_000005_000019_gtFine_polygons.json,car,40,15,600,0.000286,train
aachen_000005_000019_gtFine_polygons.json,person,38,126,4788,0.002283,train
aachen_000005_000019_gtFine_polygons.json,person,49,132,6468,0.003084,train
aachen_000005_000019_gtFine_polygons.json,person,25,72,1800,0.000858,train
aachen_000005_000019_gtFine_polygons.json,person,11,30,330,0.000157,train
aachen_000005_000019_gtFine_polygons.json,car,106,38,4028,0.001921,train
aachen_000005_000019_gtFine_polygons.json,car,42,37,1554,0.000741,train
aachen_000005_000019_gtFine_polygons.json,person,39,80,3120,0.001488,train
aachen_000005_000019_gtFine_polygons.json,person,14,26,364,0.000174,train
aachen_000005_000019_gtFine_polygons.json,car,47,38,1786,0.000852,train
aachen_000005_000019_gtFine_polygons.json,person,17,44,748,0.000357,train
aachen_000005_000019_gtFine_polygons.json,car,88,56,4928,0.00235,train
aachen_000005_000019_gtFine_polygons.json,car,451,278,125378,0.059785,train
aachen_000005_000019_gtFine_polygons.json,car,38,25,950,0.000453,train
aachen_000005_000019_gtFine_polygons.json,car,29,42,1218,0.000581,train
aachen_000005_000019_gtFine_polygons.json,car,54,44,2376,0.001133,train
aachen_000005_000019_gtFine_polygons.json,car,49,35,1715,0.000818,train
aachen_000005_000019_gtFine_polygons.json,car,77,56,4312,0.002056,train
aachen_000005_000019_gtFine_polygons.json,car,82,66,5412,0.002581,train
aachen_000005_000019_gtFine_polygons.json,car,77,56,4312,0.002056,train
aachen_000005_000019_gtFine_polygons.json,rider,35,67,2345,0.001118,train
aachen_000005_000019_gtFine_polygons.json,motorcycle,35,54,1890,0.000901,train
aachen_000005_000019_gtFine_polygons.json,car,144,110,15840,0.007553,train
aachen_000005_000019_gtFine_polygons.json,car,105,82,8610,0.004106,train
aachen_000005_000019_gtFine_polygons.json,person,18,47,846,0.000403,train
aachen_000005_000019_gtFine_polygons.json,person,12,44,528,0.000252,train
aachen_000005_000019_gtFine_polygons.json,person,17,43,731,0.000349,train
aachen_000006_000019_gtFine_polygons.json,car,30,24,720,0.000343,train
aachen_000006_000019_gtFine_polygons.json,car,55,45,2475,0.00118,train
aachen_000006_000019_gtFine_polygons.json,car,41,48,1968,0.000938,train
aachen_000006_000019_gtFine_polygons.json,car,57,55,3135,0.001495,train
aachen_000006_000019_gtFine_polygons.json,car,39,46,1794,0.000855,train
aachen_000006_000019_gtFine_polygons.json,car,87,56,4872,0.002323,train
aachen_000006_000019_gtFine_polygons.json,car,30,37,1110,0.000529,train
aachen_000006_000019_gtFine_polygons.json,car,53,18,954,0.000455,train
aachen_000006_000019_gtFine_polygons.json,car,50,26,1300,0.00062,train
aachen_000006_000019_gtFine_polygons.json,car,90,52,4680,0.002232,train
aachen_000006_000019_gtFine_polygons.json,car,236,141,33276,0.015867,train
aachen_000006_000019_gtFine_polygons.json,car,82,77,6314,0.003011,train
aachen_000006_000019_gtFine_polygons.json,car,190,96,18240,0.008698,train
aachen_000006_000019_gtFine_polygons.json,car,223,116,25868,0.012335,train
aachen_000006_000019_gtFine_polygons.json,car,228,110,25080,0.011959,train
aachen_000006_000019_gtFine_polygons.json,car,20,34,680,0.000324,train
aachen_000006_000019_gtFine_polygons.json,car,33,29,957,0.000456,train
aachen_000006_000019_gtFine_polygons.json,car,30,28,840,0.000401,train
aachen_000006_000019_gtFine_polygons.json,car,63,54,3402,0.001622,train
aachen_000006_000019_gtFine_polygons.json,person,4,11,44,2.1e-05,train
aachen_000006_000019_gtFine_polygons.json,car,10,7,70,3.3e-05,train
aachen_000006_000019_gtFine_polygons.json,person,10,21,210,0.0001,train
aachen_000006_000019_gtFine_polygons.json,person,60,148,8880,0.004234,train
aachen_000006_000019_gtFine_polygons.json,car,130,213,27690,0.013204,train
aachen_000007_000019_gtFine_polygons.json,car,73,30,2190,0.001044,train
aachen_000007_000019_gtFine_polygons.json,car,148,99,14652,0.006987,train
aachen_000008_000019_gtFine_polygons.json,car,126,79,9954,0.004746,train
aachen_000008_000019_gtFine_polygons.json,car,75,47,3525,0.001681,train
aachen_000008_000019_gtFine_polygons.json,rider,70,58,4060,0.001936,train
aachen_000008_000019_gtFine_polygons.json,motorcycle,77,126,9702,0.004626,train
aachen_000008_000019_gtFine_polygons.json,car,55,30,1650,0.000787,train
aachen_000008_000019_gtFine_polygons.json,person,33,95,3135,0.001495,train
aachen_000008_000019_gtFine_polygons.json,person,39,99,3861,0.001841,train
aachen_000008_000019_gtFine_polygons.json,person,49,117,5733,0.002734,train
aachen_000008_000019_gtFine_polygons.json,person,12,18,216,0.000103,train
aachen_000008_000019_gtFine_polygons.json,person,10,16,160,7.6e-05,train
aachen_000008_000019_gtFine_polygons.json,person,25,58,1450,0.000691,train
