annotation_file,selected_object_count,split
aachen_000000_000019_gtFine_polygons.json,16,train
aachen_000001_000019_gtFine_polygons.json,15,train
aachen_000002_000019_gtFine_polygons.json,9,train
aachen_000003_000019_gtFine_polygons.json,11,train
aachen_000004_000019_gtFine_polygons.json,25,train
aachen_000005_000019_gtFine_polygons.json,30,train
aachen_000006_000019_gtFine_polygons.json,24,train
aachen_000007_000019_gtFine_polygons.json,2,train
aachen_000008_000019_gtFine_polygons.json,18,train
aachen_000009_000019_gtFine_polygons.json,15,train
aachen_000010_000019_gtFine_polygons.json,33,train
aachen_000011_000019_gtFine_polygons.json,30,train
aachen_000012_000019_gtFine_polygons.json,38,train
aachen_000013_000019_gtFine_polygons.json,33,train
aachen_000014_000019_gtFine_polygons.json,33,train
aachen_000015_000019_gtFine_polygons.json,38,train
aachen_000016_000019_gtFine_polygons.json,50,train
aachen_000017_000019_gtFine_polygons.json,22,train
aachen_000018_000019_gtFine_polygons.json,32,train
aachen_000019_000019_gtFine_polygons.json,40,train
aachen_000020_000019_gtFine_polygons.json,19,train
aachen_000021_000019_gtFine_polygons.json,32,train
aachen_000022_000019_gtFine_polygons.json,19,train
aachen_000023_000019_gtFine_polygons.json,9,train
aachen_000024_000019_gtFine_polygons.json,6,train
aachen_000025_000019_gtFine_polygons.json,15,train
aachen_000026_000019_gtFine_polygons.json,28,train
aachen_000027_000019_gtFine_polygons.json,28,train
aachen_000028_000019_gtFine_polygons.json,12,train
aachen_000029_000019_gtFine_polygons.json,33,train
aachen_000030_000019_gtFine_polygons.json,16,train
aachen_000031_000019_gtFine_polygons.json,19,train
aachen_000032_000019_gtFine_polygons.json,11,train
aachen_000033_000019_gtFine_polygons.json,27,train
aachen_000034_000019_gtFine_polygons.json,30,train
aachen_000035_000019_gtFine_polygons.json,9,train
aachen_000036_000019_gtFine_polygons.json,9,train
aachen_000037_000019_gtFine_polygons.json,8,train
aachen_000038_000019_gtFine_polygons.json,11,train
aachen_000039_000019_gtFine_polygons.json,7,train
aachen_000040_000019_gtFine_polygons.json,21,train
aachen_000041_000019_gtFine_polygons.json,21,train
aachen_000042_000019_gtFine_polygons.json,31,train
aachen_000043_000019_gtFine_polygons.json,14,train
aachen_000044_000019_gtFine_polygons.json,11,train
aachen_000045_000019_gtFine_polygons.json,14,train
aachen_000046_000019_gtFine_polygons.json,21,train
aachen_000047_000019_gtFine_polygons.json,26,train
aachen_000048_000019_gtFine_polygons.json,34,train
aachen_000049_000019_gtFine_polygons.json,25,train
aachen_000050_000019_gtFine_polygons.json,26,train
aachen_000051_000019_gtFine_polygons.json,10,train
aachen_000052_000019_gtFine_polygons.json,23,train
aachen_000053_000019_gtFine_polygons.json,21,train
aachen_000054_000019_gtFine_polygons.json,17,train
aachen_000055_000019_gtFine_polygons.json,6,train
aachen_000056_000019_gtFine_polygons.json,9,train
aachen_000057_000019_gtFine_polygons.json,12,train
aachen_000058_000019_gtFine_polygons.json,20,train
aachen_000059_000019_gtFine_polygons.json,26,train
aachen_000060_000019_gtFine_polygons.json,41,train
aachen_000061_000019_gtFine_polygons.json,60,train
aachen_000062_000019_gtFine_polygons.json,25,train
