epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.726,1.36635,1.14929,1.03349,0.53362,0.35499,0.36294,0.20954,1.3637,0.9943,1.02306,0.000301371,0.000301371,0.000301371
2,228.223,1.3471,0.92559,1.02435,0.54458,0.38935,0.39384,0.21928,1.37501,0.91772,1.04395,0.000574455,0.000574455,0.000574455
3,341.434,1.34832,0.91105,1.0263,0.52012,0.39207,0.39448,0.22179,1.37687,0.92681,1.05106,0.000817541,0.000817541,0.000817541
4,453.418,1.32747,0.88078,1.01705,0.5295,0.38622,0.41799,0.23983,1.37393,0.91243,1.03258,0.000774013,0.000774013,0.000774013
5,565.653,1.32559,0.85872,1.01879,0.54529,0.41736,0.43574,0.24964,1.33598,0.86827,1.0299,0.000729018,0.000729018,0.000729018
6,678.399,1.30568,0.84511,1.00546,0.58536,0.40324,0.43973,0.25586,1.32115,0.85856,1.02594,0.000684022,0.000684022,0.000684022
7,791.926,1.27596,0.81186,0.99741,0.61444,0.39287,0.4276,0.24233,1.3266,0.86345,1.03238,0.000639027,0.000639027,0.000639027
8,904.594,1.25707,0.79479,0.99134,0.66495,0.39704,0.45296,0.26665,1.30129,0.84436,1.01638,0.000594031,0.000594031,0.000594031
9,1016.89,1.24891,0.78376,0.98752,0.6453,0.39198,0.46336,0.26892,1.28327,0.81814,1.01257,0.000549036,0.000549036,0.000549036
10,1128.92,1.23605,0.77665,0.98505,0.63265,0.42572,0.46714,0.27389,1.27057,0.80485,1.01029,0.00050404,0.00050404,0.00050404
11,1247.23,1.24584,0.78487,0.99461,0.61872,0.40338,0.45085,0.25987,1.29973,0.8353,1.02174,0.000459045,0.000459045,0.000459045
12,1356.89,1.23828,0.7748,0.99056,0.62585,0.39832,0.46215,0.27083,1.2867,0.82305,1.01049,0.000414049,0.000414049,0.000414049
13,1468.56,1.22014,0.75576,0.98387,0.62512,0.42882,0.47855,0.28067,1.28462,0.81459,1.01204,0.000369054,0.000369054,0.000369054
14,1578.62,1.20185,0.73847,0.97377,0.58032,0.42716,0.46209,0.27642,1.26558,0.79479,1.00975,0.000324058,0.000324058,0.000324058
15,1690.93,1.18391,0.72431,0.9723,0.63567,0.44477,0.49238,0.29151,1.25467,0.77843,1.00336,0.000279063,0.000279063,0.000279063
16,1801.65,1.17571,0.71297,0.96971,0.62436,0.44652,0.49078,0.29293,1.2429,0.78138,0.99848,0.000234068,0.000234068,0.000234068
17,1914.93,1.16818,0.69926,0.96343,0.61215,0.45531,0.49899,0.29202,1.24607,0.76699,0.99634,0.000189072,0.000189072,0.000189072
18,2025.65,1.14893,0.68585,0.95886,0.61917,0.44097,0.49217,0.29457,1.23703,0.76165,0.99694,0.000144077,0.000144077,0.000144077
19,2138.62,1.13391,0.67495,0.95506,0.61712,0.46365,0.50053,0.30296,1.22613,0.75431,0.99104,9.9081e-05,9.9081e-05,9.9081e-05
20,2249.89,1.13125,0.6677,0.95057,0.60895,0.47435,0.50997,0.31068,1.21536,0.73947,0.98908,5.40855e-05,5.40855e-05,5.40855e-05
