epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.159,1.54752,1.91377,1.06438,0.36456,0.26073,0.25702,0.14335,1.50637,1.18301,1.06784,0.000301371,0.000301371,0.000301371
2,222.647,1.47411,1.17417,1.05396,0.45849,0.32339,0.31188,0.16883,1.49805,1.09387,1.0638,0.000580438,0.000580438,0.000580438
3,333.202,1.4543,1.1031,1.05045,0.46741,0.35021,0.33741,0.18954,1.4793,1.06734,1.07181,0.000835507,0.000835507,0.000835507
4,441.14,1.42724,1.03752,1.04038,0.50322,0.32981,0.34557,0.19781,1.45082,1.0386,1.06421,0.000801011,0.000801011,0.000801011
5,550.579,1.41481,0.99946,1.03867,0.52519,0.34917,0.36569,0.20874,1.43586,0.99681,1.05616,0.000765014,0.000765014,0.000765014
6,660.539,1.39413,0.9661,1.03074,0.54006,0.34932,0.36577,0.20313,1.43323,0.96878,1.05858,0.000729018,0.000729018,0.000729018
7,769.948,1.36554,0.9301,1.02058,0.56499,0.3546,0.37885,0.21762,1.40568,0.95384,1.05601,0.000693022,0.000693022,0.000693022
8,878.92,1.34973,0.90776,1.01673,0.59168,0.34253,0.39187,0.22975,1.38051,0.94574,1.04244,0.000657025,0.000657025,0.000657025
9,989.056,1.34115,0.89718,1.01357,0.55437,0.37719,0.39825,0.2306,1.3729,0.91727,1.04141,0.000621029,0.000621029,0.000621029
10,1096.68,1.33209,0.88052,1.013,0.57542,0.38104,0.41896,0.23943,1.38142,0.90939,1.04039,0.000585032,0.000585032,0.000585032
11,1206.58,1.32423,0.86939,1.00948,0.55423,0.38147,0.40128,0.23531,1.36616,0.90819,1.04119,0.000549036,0.000549036,0.000549036
12,1315.56,1.29865,0.84848,1.00086,0.56065,0.39427,0.42211,0.24467,1.35031,0.89388,1.03016,0.00051304,0.00051304,0.00051304
13,1427.53,1.30995,0.84813,1.00192,0.575,0.3908,0.42602,0.25142,1.34446,0.87332,1.02697,0.000477043,0.000477043,0.000477043
14,1538,1.29313,0.83341,0.99817,0.55663,0.39419,0.42389,0.24534,1.36197,0.88449,1.02936,0.000441047,0.000441047,0.000441047
15,1647.53,1.28389,0.82242,0.99463,0.61217,0.38678,0.43474,0.25474,1.33826,0.85678,1.02487,0.00040505,0.00040505,0.00040505
16,1761.67,1.28843,0.82976,1.00165,0.60108,0.37745,0.43128,0.25558,1.34932,0.86502,1.02913,0.000369054,0.000369054,0.000369054
17,1868.63,1.27508,0.80859,0.99856,0.56653,0.39414,0.42831,0.25162,1.33798,0.86261,1.02702,0.000333058,0.000333058,0.000333058
18,1976.83,1.26075,0.79793,0.98991,0.60532,0.38138,0.42696,0.24696,1.33502,0.87498,1.0263,0.000297061,0.000297061,0.000297061
19,2082.54,1.24915,0.78668,0.98532,0.58455,0.3986,0.44465,0.26098,1.32536,0.84473,1.0209,0.000261065,0.000261065,0.000261065
20,2187.9,1.23938,0.77535,0.98215,0.61613,0.403,0.4513,0.2652,1.32088,0.8515,1.02113,0.000225068,0.000225068,0.000225068
21,2293.78,1.23,0.7693,0.97975,0.59549,0.40208,0.4467,0.26234,1.32394,0.83959,1.02098,0.000189072,0.000189072,0.000189072
22,2401.71,1.22303,0.75875,0.97965,0.64696,0.38521,0.44874,0.26486,1.31119,0.83155,1.01334,0.000153076,0.000153076,0.000153076
23,2508.64,1.22026,0.75271,0.9749,0.57023,0.40953,0.44884,0.26594,1.30065,0.82423,1.0129,0.000117079,0.000117079,0.000117079
24,2617.31,1.2056,0.74269,0.97365,0.64696,0.39126,0.45905,0.27439,1.2954,0.81564,1.0116,8.10828e-05,8.10828e-05,8.10828e-05
25,2726.79,1.19968,0.73828,0.97039,0.63577,0.3902,0.45597,0.27162,1.29179,0.81532,1.0092,4.50864e-05,4.50864e-05,4.50864e-05
